,lang,task,model,pattern,tot_score,%_score
0,de,comparative1,mgpt_alt_1beam,P1|NEG,253,0.506
1,de,comparative1,mgpt_alt_1beam,P1|NEG|N1,253,0.506
2,de,comparative1,mgpt_alt_1beam,P1|NEG|N1|N2,253,0.506
3,de,comparative1,mgpt_alt_1beam,P1|NEG|N2,253,0.506
4,de,comparative1,mgpt_alt_1beam,P1|P2|NEG,0,0.0
5,de,comparative1,mgpt_alt_1beam,P1|P2|NEG|N1,0,0.0
6,de,comparative1,mgpt_alt_1beam,P1|P2|NEG|N1|N2,0,0.0
7,de,comparative1,mgpt_alt_1beam,P1|P2|NEG|N2,0,0.0
8,de,comparative1,mgpt_one_1beam,P1|NEG,473,0.946
9,de,comparative1,mgpt_one_1beam,P1|NEG|N1,473,0.946
10,de,comparative1,mgpt_one_1beam,P1|NEG|N1|N2,473,0.946
11,de,comparative1,mgpt_one_1beam,P1|NEG|N2,473,0.946
12,de,comparative1,mgpt_one_1beam,P1|P2|NEG,0,0.0
13,de,comparative1,mgpt_one_1beam,P1|P2|NEG|N1,0,0.0
14,de,comparative1,mgpt_one_1beam,P1|P2|NEG|N1|N2,0,0.0
15,de,comparative1,mgpt_one_1beam,P1|P2|NEG|N2,0,0.0
16,de,comparative1,mgpt_zero_1beam,P1|NEG,327,0.654
17,de,comparative1,mgpt_zero_1beam,P1|NEG|N1,259,0.518
18,de,comparative1,mgpt_zero_1beam,P1|NEG|N1|N2,259,0.518
19,de,comparative1,mgpt_zero_1beam,P1|NEG|N2,265,0.53
20,de,comparative1,mgpt_zero_1beam,P1|P2|NEG,6,0.012
21,de,comparative1,mgpt_zero_1beam,P1|P2|NEG|N1,0,0.0
22,de,comparative1,mgpt_zero_1beam,P1|P2|NEG|N1|N2,0,0.0
23,de,comparative1,mgpt_zero_1beam,P1|P2|NEG|N2,6,0.012
24,de,comparative1,xglm1.7B_zero_1beam,P1|NEG,320,0.64
25,de,comparative1,xglm1.7B_zero_1beam,P1|NEG|N1,314,0.628
26,de,comparative1,xglm1.7B_zero_1beam,P1|NEG|N1|N2,314,0.628
27,de,comparative1,xglm1.7B_zero_1beam,P1|NEG|N2,314,0.628
28,de,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG,0,0.0
29,de,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG|N1,0,0.0
30,de,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG|N1|N2,0,0.0
31,de,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG|N2,0,0.0
32,de,comparative1,xglm_alt_one_1beam,P1|NEG,206,0.412
33,de,comparative1,xglm_alt_one_1beam,P1|NEG|N1,206,0.412
34,de,comparative1,xglm_alt_one_1beam,P1|NEG|N1|N2,206,0.412
35,de,comparative1,xglm_alt_one_1beam,P1|NEG|N2,206,0.412
36,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG,0,0.0
37,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N1,0,0.0
38,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N1|N2,0,0.0
39,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N2,0,0.0
40,de,comparative1,xglm_alt_one_2beam,P1|NEG,187,0.374
41,de,comparative1,xglm_alt_one_2beam,P1|NEG|N1,187,0.374
42,de,comparative1,xglm_alt_one_2beam,P1|NEG|N1|N2,187,0.374
43,de,comparative1,xglm_alt_one_2beam,P1|NEG|N2,187,0.374
44,de,comparative1,xglm_alt_one_2beam,P1|P2|NEG,0,0.0
45,de,comparative1,xglm_alt_one_2beam,P1|P2|NEG|N1,0,0.0
46,de,comparative1,xglm_alt_one_2beam,P1|P2|NEG|N1|N2,0,0.0
