,task,model,pattern,tot_score,%_score
0,comparative1,mgpt_alt_1beam,P1|NEG,1028,0.3426666666666667
1,comparative1,mgpt_alt_1beam,P1|NEG|N1,897,0.299
2,comparative1,mgpt_alt_1beam,P1|NEG|N1|N2,896,0.2986666666666667
3,comparative1,mgpt_alt_1beam,P1|NEG|N2,911,0.30366666666666664
4,comparative1,mgpt_alt_1beam,P1|P2|NEG,15,0.005
5,comparative1,mgpt_alt_1beam,P1|P2|NEG|N1,0,0.0
6,comparative1,mgpt_alt_1beam,P1|P2|NEG|N1|N2,0,0.0
7,comparative1,mgpt_alt_1beam,P1|P2|NEG|N2,15,0.005
8,comparative1,mgpt_one_1beam,P1|NEG,1941,0.647
9,comparative1,mgpt_one_1beam,P1|NEG|N1,1893,0.631
10,comparative1,mgpt_one_1beam,P1|NEG|N1|N2,1883,0.6276666666666667
11,comparative1,mgpt_one_1beam,P1|NEG|N2,1889,0.6296666666666667
12,comparative1,mgpt_one_1beam,P1|P2|NEG,5,0.0016666666666666668
13,comparative1,mgpt_one_1beam,P1|P2|NEG|N1,0,0.0
14,comparative1,mgpt_one_1beam,P1|P2|NEG|N1|N2,0,0.0
15,comparative1,mgpt_one_1beam,P1|P2|NEG|N2,5,0.0016666666666666668
16,comparative1,mgpt_zero_1beam,P1|NEG,2241,0.747
17,comparative1,mgpt_zero_1beam,P1|NEG|N1,1292,0.43066666666666664
18,comparative1,mgpt_zero_1beam,P1|NEG|N1|N2,911,0.30366666666666664
19,comparative1,mgpt_zero_1beam,P1|NEG|N2,1012,0.3373333333333333
20,comparative1,mgpt_zero_1beam,P1|P2|NEG,233,0.07766666666666666
21,comparative1,mgpt_zero_1beam,P1|P2|NEG|N1,142,0.04733333333333333
22,comparative1,mgpt_zero_1beam,P1|P2|NEG|N1|N2,138,0.046
23,comparative1,mgpt_zero_1beam,P1|P2|NEG|N2,222,0.074
24,comparative1,xglm1.7B_zero_1beam,P1|NEG,1723,0.5743333333333334
25,comparative1,xglm1.7B_zero_1beam,P1|NEG|N1,1259,0.4196666666666667
26,comparative1,xglm1.7B_zero_1beam,P1|NEG|N1|N2,1062,0.354
27,comparative1,xglm1.7B_zero_1beam,P1|NEG|N2,1084,0.36133333333333334
28,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG,126,0.042
29,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG|N1,111,0.037
30,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG|N1|N2,110,0.03666666666666667
31,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG|N2,124,0.04133333333333333
32,comparative1,xglm_alt_one_1beam,P1|NEG,877,0.29233333333333333
33,comparative1,xglm_alt_one_1beam,P1|NEG|N1,870,0.29
34,comparative1,xglm_alt_one_1beam,P1|NEG|N1|N2,858,0.286
35,comparative1,xglm_alt_one_1beam,P1|NEG|N2,862,0.28733333333333333
36,comparative1,xglm_alt_one_1beam,P1|P2|NEG,5,0.0016666666666666668
37,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N1,1,0.0003333333333333333
38,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N1|N2,1,0.0003333333333333333
39,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N2,5,0.0016666666666666668
40,comparative1,xglm_alt_one_2beam,P1|NEG,789,0.263
41,comparative1,xglm_alt_one_2beam,P1|NEG|N1,787,0.2623333333333333
42,comparative1,xglm_alt_one_2beam,P1|NEG|N1|N2,787,0.2623333333333333
43,comparative1,xglm_alt_one_2beam,P1|NEG|N2,788,0.26266666666666666
44,comparative1,xglm_alt_one_2beam,P1|P2|NEG,1,0.0003333333333333333
45,comparative1,xglm_alt_one_2beam,P1|P2|NEG|N1,0,0.0
46,comparative1,xglm_alt_one_2beam,P1|P2|NEG|N1|N2,0,0.0
47,comparative1,xglm_alt_one_2beam,P1|P2|NEG|N2,1,0.0003333333333333333
48,comparative1,xglm_one_1beam,P1|NEG,1358,0.45266666666666666
49,comparative1,xglm_one_1beam,P1|NEG|N1,1353,0.451
50,comparative1,xglm_one_1beam,P1|NEG|N1|N2,1350,0.45
51,comparative1,xglm_one_1beam,P1|NEG|N2,1353,0.451
52,comparative1,xglm_one_1beam,P1|P2|NEG,4,0.0013333333333333333
53,comparative1,xglm_one_1beam,P1|P2|NEG|N1,1,0.0003333333333333333
54,comparative1,xglm_one_1beam,P1|P2|NEG|N1|N2,1,0.0003333333333333333
55,comparative1,xglm_one_1beam,P1|P2|NEG|N2,4,0.0013333333333333333
56,comparative1,xglm_one_2beam,P1|NEG,1143,0.381
57,comparative1,xglm_one_2beam,P1|NEG|N1,1131,0.377
58,comparative1,xglm_one_2beam,P1|NEG|N1|N2,1131,0.377
59,comparative1,xglm_one_2beam,P1|NEG|N2,1138,0.37933333333333336
60,comparative1,xglm_one_2beam,P1|P2|NEG,7,0.0023333333333333335
61,comparative1,xglm_one_2beam,P1|P2|NEG|N1,0,0.0
62,comparative1,xglm_one_2beam,P1|P2|NEG|N1|N2,0,0.0
63,comparative1,xglm_one_2beam,P1|P2|NEG|N2,7,0.0023333333333333335
64,comparative1,xglm_zero_1beam,P1|NEG,2430,0.81
65,comparative1,xglm_zero_1beam,P1|NEG|N1,1115,0.37166666666666665
66,comparative1,xglm_zero_1beam,P1|NEG|N1|N2,832,0.2773333333333333
67,comparative1,xglm_zero_1beam,P1|NEG|N2,1088,0.3626666666666667
68,comparative1,xglm_zero_1beam,P1|P2|NEG,362,0.12066666666666667
69,comparative1,xglm_zero_1beam,P1|P2|NEG|N1,106,0.035333333333333335
70,comparative1,xglm_zero_1beam,P1|P2|NEG|N1|N2,87,0.029
71,comparative1,xglm_zero_1beam,P1|P2|NEG|N2,337,0.11233333333333333
72,comparative1,xglm_zero_2beam,P1|NEG,2485,0.8283333333333334
73,comparative1,xglm_zero_2beam,P1|NEG|N1,761,0.25366666666666665
74,comparative1,xglm_zero_2beam,P1|NEG|N1|N2,566,0.18866666666666668
75,comparative1,xglm_zero_2beam,P1|NEG|N2,891,0.297
76,comparative1,xglm_zero_2beam,P1|P2|NEG,362,0.12066666666666667
77,comparative1,xglm_zero_2beam,P1|P2|NEG|N1,39,0.013
78,comparative1,xglm_zero_2beam,P1|P2|NEG|N1|N2,33,0.011
79,comparative1,xglm_zero_2beam,P1|P2|NEG|N2,353,0.11766666666666667
80,comparative2,mgpt_alt_1beam,P1|NEG,426,0.142
81,comparative2,mgpt_alt_1beam,P1|NEG|N1,362,0.12066666666666667
82,comparative2,mgpt_alt_1beam,P1|P2|NEG,8,0.0026666666666666666
83,comparative2,mgpt_alt_1beam,P1|P2|NEG|N1,8,0.0026666666666666666
84,comparative2,mgpt_one_1beam,P1|NEG,274,0.09133333333333334
85,comparative2,mgpt_one_1beam,P1|NEG|N1,236,0.07866666666666666
86,comparative2,mgpt_one_1beam,P1|P2|NEG,0,0.0
87,comparative2,mgpt_one_1beam,P1|P2|NEG|N1,0,0.0
88,comparative2,mgpt_zero_1beam,P1|NEG,500,0.16666666666666666
89,comparative2,mgpt_zero_1beam,P1|NEG|N1,476,0.15866666666666668
90,comparative2,mgpt_zero_1beam,P1|P2|NEG,73,0.024333333333333332
91,comparative2,mgpt_zero_1beam,P1|P2|NEG|N1,69,0.023
