,lang,task,model,pattern,tot_score,%_score
0,de,comparative1,xglm1.7B_zero_1beam,P1|NEG,320,0.64
1,de,comparative1,xglm1.7B_zero_1beam,P1|NEG|N1,314,0.628
2,de,comparative1,xglm1.7B_zero_1beam,P1|NEG|N1|N2,314,0.628
3,de,comparative1,xglm1.7B_zero_1beam,P1|NEG|N2,314,0.628
4,de,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG,0,0.0
5,de,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG|N1,0,0.0
6,de,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG|N1|N2,0,0.0
7,de,comparative1,xglm1.7B_zero_1beam,P1|P2|NEG|N2,0,0.0
8,de,comparative1,xglm_alt_one_1beam,P1|NEG,206,0.412
9,de,comparative1,xglm_alt_one_1beam,P1|NEG|N1,206,0.412
10,de,comparative1,xglm_alt_one_1beam,P1|NEG|N1|N2,206,0.412
11,de,comparative1,xglm_alt_one_1beam,P1|NEG|N2,206,0.412
12,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG,0,0.0
13,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N1,0,0.0
14,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N1|N2,0,0.0
15,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N2,0,0.0
16,de,comparative1,xglm_alt_one_2beam,P1|NEG,187,0.374
17,de,comparative1,xglm_alt_one_2beam,P1|NEG|N1,187,0.374
18,de,comparative1,xglm_alt_one_2beam,P1|NEG|N1|N2,187,0.374
19,de,comparative1,xglm_alt_one_2beam,P1|NEG|N2,187,0.374
20,de,comparative1,xglm_alt_one_2beam,P1|P2|NEG,0,0.0
21,de,comparative1,xglm_alt_one_2beam,P1|P2|NEG|N1,0,0.0
22,de,comparative1,xglm_alt_one_2beam,P1|P2|NEG|N1|N2,0,0.0
23,de,comparative1,xglm_alt_one_2beam,P1|P2|NEG|N2,0,0.0
24,de,comparative1,xglm_one_1beam,P1|NEG,416,0.832
25,de,comparative1,xglm_one_1beam,P1|NEG|N1,416,0.832
26,de,comparative1,xglm_one_1beam,P1|NEG|N1|N2,416,0.832
27,de,comparative1,xglm_one_1beam,P1|NEG|N2,416,0.832
28,de,comparative1,xglm_one_1beam,P1|P2|NEG,0,0.0
29,de,comparative1,xglm_one_1beam,P1|P2|NEG|N1,0,0.0
30,de,comparative1,xglm_one_1beam,P1|P2|NEG|N1|N2,0,0.0
31,de,comparative1,xglm_one_1beam,P1|P2|NEG|N2,0,0.0
32,de,comparative1,xglm_one_2beam,P1|NEG,327,0.654
33,de,comparative1,xglm_one_2beam,P1|NEG|N1,327,0.654
34,de,comparative1,xglm_one_2beam,P1|NEG|N1|N2,327,0.654
35,de,comparative1,xglm_one_2beam,P1|NEG|N2,327,0.654
36,de,comparative1,xglm_one_2beam,P1|P2|NEG,0,0.0
37,de,comparative1,xglm_one_2beam,P1|P2|NEG|N1,0,0.0
38,de,comparative1,xglm_one_2beam,P1|P2|NEG|N1|N2,0,0.0
39,de,comparative1,xglm_one_2beam,P1|P2|NEG|N2,0,0.0
40,de,comparative1,xglm_zero_1beam,P1|NEG,494,0.988
41,de,comparative1,xglm_zero_1beam,P1|NEG|N1,188,0.376
42,de,comparative1,xglm_zero_1beam,P1|NEG|N1|N2,188,0.376
43,de,comparative1,xglm_zero_1beam,P1|NEG|N2,302,0.604
44,de,comparative1,xglm_zero_1beam,P1|P2|NEG,114,0.228
45,de,comparative1,xglm_zero_1beam,P1|P2|NEG|N1,0,0.0
46,de,comparative1,xglm_zero_1beam,P1|P2|NEG|N1|N2,0,0.0
47,de,comparative1,xglm_zero_1beam,P1|P2|NEG|N2,114,0.228
48,de,comparative1,xglm_zero_2beam,P1|NEG,495,0.99
49,de,comparative1,xglm_zero_2beam,P1|NEG|N1,120,0.24
50,de,comparative1,xglm_zero_2beam,P1|NEG|N1|N2,120,0.24
51,de,comparative1,xglm_zero_2beam,P1|NEG|N2,306,0.612
52,de,comparative1,xglm_zero_2beam,P1|P2|NEG,187,0.374
53,de,comparative1,xglm_zero_2beam,P1|P2|NEG|N1,1,0.002
54,de,comparative1,xglm_zero_2beam,P1|P2|NEG|N1|N2,1,0.002
55,de,comparative1,xglm_zero_2beam,P1|P2|NEG|N2,187,0.374
56,de,comparative2,xglm1.7B_zero_1beam,P1|NEG,192,0.384
57,de,comparative2,xglm1.7B_zero_1beam,P1|NEG|N1,184,0.368
58,de,comparative2,xglm1.7B_zero_1beam,P1|P2|NEG,115,0.23
59,de,comparative2,xglm1.7B_zero_1beam,P1|P2|NEG|N1,109,0.218
60,de,comparative2,xglm_alt_one_1beam,P1|NEG,114,0.228
61,de,comparative2,xglm_alt_one_1beam,P1|NEG|N1,114,0.228
62,de,comparative2,xglm_alt_one_1beam,P1|P2|NEG,0,0.0
63,de,comparative2,xglm_alt_one_1beam,P1|P2|NEG|N1,0,0.0
64,de,comparative2,xglm_alt_one_2beam,P1|NEG,118,0.236
65,de,comparative2,xglm_alt_one_2beam,P1|NEG|N1,118,0.236
66,de,comparative2,xglm_alt_one_2beam,P1|P2|NEG,0,0.0
67,de,comparative2,xglm_alt_one_2beam,P1|P2|NEG|N1,0,0.0
68,de,comparative2,xglm_one_1beam,P1|NEG,160,0.32
69,de,comparative2,xglm_one_1beam,P1|NEG|N1,160,0.32
70,de,comparative2,xglm_one_1beam,P1|P2|NEG,0,0.0
71,de,comparative2,xglm_one_1beam,P1|P2|NEG|N1,0,0.0
72,de,comparative2,xglm_one_2beam,P1|NEG,25,0.05
73,de,comparative2,xglm_one_2beam,P1|NEG|N1,25,0.05
74,de,comparative2,xglm_one_2beam,P1|P2|NEG,0,0.0
75,de,comparative2,xglm_one_2beam,P1|P2|NEG|N1,0,0.0
76,de,comparative2,xglm_zero_1beam,P1|NEG,206,0.412
77,de,comparative2,xglm_zero_1beam,P1|NEG|N1,206,0.412
78,de,comparative2,xglm_zero_1beam,P1|P2|NEG,68,0.136
79,de,comparative2,xglm_zero_1beam,P1|P2|NEG|N1,68,0.136
80,de,comparative2,xglm_zero_2beam,P1|NEG,227,0.454
81,de,comparative2,xglm_zero_2beam,P1|NEG|N1,218,0.436
82,de,comparative2,xglm_zero_2beam,P1|P2|NEG,167,0.334
83,de,comparative2,xglm_zero_2beam,P1|P2|NEG|N1,167,0.334
84,de,negation1,xglm1.7B_zero_1beam,P1,205,0.41
85,de,negation1,xglm1.7B_zero_1beam,P1|N1,187,0.374
86,de,negation1,xglm1.7B_zero_1beam,P1|P2|NEG,4,0.008
87,de,negation1,xglm1.7B_zero_1beam,P1|P2|NEG|N1,4,0.008
88,de,negation1,xglm_alt_one_1beam,P1,75,0.15
89,de,negation1,xglm_alt_one_1beam,P1|N1,75,0.15
90,de,negation1,xglm_alt_one_1beam,P1|P2|NEG,0,0.0
91,de,negation1,xglm_alt_one_1beam,P1|P2|NEG|N1,0,0.0
92,de,negation1,xglm_alt_one_2beam,P1,132,0.264
93,de,negation1,xglm_alt_one_2beam,P1|N1,132,0.264
94,de,negation1,xglm_alt_one_2beam,P1|P2|NEG,0,0.0
95,de,negation1,xglm_alt_one_2beam,P1|P2|NEG|N1,0,0.0
96,de,negation1,xglm_one_1beam,P1,44,0.088
97,de,negation1,xglm_one_1beam,P1|N1,44,0.088
98,de,negation1,xglm_one_1beam,P1|P2|NEG,0,0.0
99,de,negation1,xglm_one_1beam,P1|P2|NEG|N1,0,0.0
100,de,negation1,xglm_one_2beam,P1,26,0.052
101,de,negation1,xglm_one_2beam,P1|N1,25,0.05
102,de,negation1,xglm_one_2beam,P1|P2|NEG,0,0.0
103,de,negation1,xglm_one_2beam,P1|P2|NEG|N1,0,0.0
104,de,negation1,xglm_zero_1beam,P1,306,0.612
105,de,negation1,xglm_zero_1beam,P1|N1,276,0.552
106,de,negation1,xglm_zero_1beam,P1|P2|NEG,180,0.36
107,de,negation1,xglm_zero_1beam,P1|P2|NEG|N1,151,0.302
108,de,negation1,xglm_zero_2beam,P1,424,0.848
109,de,negation1,xglm_zero_2beam,P1|N1,223,0.446
110,de,negation1,xglm_zero_2beam,P1|P2|NEG,266,0.532
111,de,negation1,xglm_zero_2beam,P1|P2|NEG|N1,118,0.236
112,de,negation2,xglm1.7B_zero_1beam,P1,399,0.798
113,de,negation2,xglm1.7B_zero_1beam,P1|N1,334,0.668
114,de,negation2,xglm1.7B_zero_1beam,P1|P2|NEG,0,0.0
115,de,negation2,xglm1.7B_zero_1beam,P1|P2|NEG|N1,0,0.0
116,de,negation2,xglm1.7B_zero_1beam,P1|P3|nNEG,116,0.232
117,de,negation2,xglm1.7B_zero_1beam,P1|P3|nNEG|N1,72,0.144
118,de,negation2,xglm_alt_one_1beam,P1,133,0.266
119,de,negation2,xglm_alt_one_1beam,P1|N1,133,0.266
120,de,negation2,xglm_alt_one_1beam,P1|P2|NEG,0,0.0
121,de,negation2,xglm_alt_one_1beam,P1|P2|NEG|N1,0,0.0
122,de,negation2,xglm_alt_one_1beam,P1|P3|nNEG,0,0.0
123,de,negation2,xglm_alt_one_1beam,P1|P3|nNEG|N1,0,0.0
124,de,negation2,xglm_alt_one_2beam,P1,146,0.292
125,de,negation2,xglm_alt_one_2beam,P1|N1,146,0.292
126,de,negation2,xglm_alt_one_2beam,P1|P2|NEG,0,0.0
127,de,negation2,xglm_alt_one_2beam,P1|P2|NEG|N1,0,0.0
128,de,negation2,xglm_alt_one_2beam,P1|P3|nNEG,0,0.0
129,de,negation2,xglm_alt_one_2beam,P1|P3|nNEG|N1,0,0.0
130,de,negation2,xglm_one_1beam,P1,141,0.282
131,de,negation2,xglm_one_1beam,P1|N1,141,0.282
132,de,negation2,xglm_one_1beam,P1|P2|NEG,0,0.0
133,de,negation2,xglm_one_1beam,P1|P2|NEG|N1,0,0.0
134,de,negation2,xglm_one_1beam,P1|P3|nNEG,0,0.0
135,de,negation2,xglm_one_1beam,P1|P3|nNEG|N1,0,0.0
136,de,negation2,xglm_one_2beam,P1,136,0.272
137,de,negation2,xglm_one_2beam,P1|N1,136,0.272
138,de,negation2,xglm_one_2beam,P1|P2|NEG,0,0.0
139,de,negation2,xglm_one_2beam,P1|P2|NEG|N1,0,0.0
140,de,negation2,xglm_one_2beam,P1|P3|nNEG,0,0.0
141,de,negation2,xglm_one_2beam,P1|P3|nNEG|N1,0,0.0
142,de,negation2,xglm_zero_1beam,P1,176,0.352
143,de,negation2,xglm_zero_1beam,P1|N1,152,0.304
144,de,negation2,xglm_zero_1beam,P1|P2|NEG,0,0.0
145,de,negation2,xglm_zero_1beam,P1|P2|NEG|N1,0,0.0
146,de,negation2,xglm_zero_1beam,P1|P3|nNEG,113,0.226
147,de,negation2,xglm_zero_1beam,P1|P3|nNEG|N1,91,0.182
148,de,negation2,xglm_zero_2beam,P1,350,0.7
149,de,negation2,xglm_zero_2beam,P1|N1,171,0.342
150,de,negation2,xglm_zero_2beam,P1|P2|NEG,0,0.0
151,de,negation2,xglm_zero_2beam,P1|P2|NEG|N1,0,0.0
152,de,negation2,xglm_zero_2beam,P1|P3|nNEG,287,0.574
153,de,negation2,xglm_zero_2beam,P1|P3|nNEG|N1,122,0.244
154,de,numerals1,xglm1.7B_zero_1beam,P1|NEG,0,0.0
155,de,numerals1,xglm1.7B_zero_1beam,P1|NEG|N1,0,0.0
156,de,numerals1,xglm1.7B_zero_1beam,P1|NEG|N1|N2,0,0.0
157,de,numerals1,xglm1.7B_zero_1beam,P1|NEG|N2,0,0.0
