,lang,task,model,pattern,tot_score,%_score
0,de,comparative1,xglm_alt_one_1beam,P1|NEG,206,0.412
1,de,comparative1,xglm_alt_one_1beam,P1|NEG|N1,206,0.412
2,de,comparative1,xglm_alt_one_1beam,P1|NEG|N1|N2,206,0.412
3,de,comparative1,xglm_alt_one_1beam,P1|NEG|N2,206,0.412
4,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG,0,0.0
5,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N1,0,0.0
6,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N1|N2,0,0.0
7,de,comparative1,xglm_alt_one_1beam,P1|P2|NEG|N2,0,0.0
8,de,comparative1,xglm_alt_one_2beam,P1|NEG,187,0.374
9,de,comparative1,xglm_alt_one_2beam,P1|NEG|N1,187,0.374
10,de,comparative1,xglm_alt_one_2beam,P1|NEG|N1|N2,187,0.374
11,de,comparative1,xglm_alt_one_2beam,P1|NEG|N2,187,0.374
12,de,comparative1,xglm_alt_one_2beam,P1|P2|NEG,0,0.0
13,de,comparative1,xglm_alt_one_2beam,P1|P2|NEG|N1,0,0.0
14,de,comparative1,xglm_alt_one_2beam,P1|P2|NEG|N1|N2,0,0.0
15,de,comparative1,xglm_alt_one_2beam,P1|P2|NEG|N2,0,0.0
16,de,comparative1,xglm_one_1beam,P1|NEG,416,0.832
17,de,comparative1,xglm_one_1beam,P1|NEG|N1,416,0.832
18,de,comparative1,xglm_one_1beam,P1|NEG|N1|N2,416,0.832
19,de,comparative1,xglm_one_1beam,P1|NEG|N2,416,0.832
20,de,comparative1,xglm_one_1beam,P1|P2|NEG,0,0.0
21,de,comparative1,xglm_one_1beam,P1|P2|NEG|N1,0,0.0
22,de,comparative1,xglm_one_1beam,P1|P2|NEG|N1|N2,0,0.0
23,de,comparative1,xglm_one_1beam,P1|P2|NEG|N2,0,0.0
24,de,comparative1,xglm_one_2beam,P1|NEG,327,0.654
25,de,comparative1,xglm_one_2beam,P1|NEG|N1,327,0.654
