,lang,task,pattern,TP,FP,TN,FN,P,R,F1
0,en,negation1,P1,229,49,340,0,0.8237410071942446,1.0,0.903353057199211
1,en,negation1,P1|N1,198,0,389,31,1.0,0.8646288209606987,0.927400468384075
2,en,negation1,P1|P2|NEG,10,42,347,219,0.19230769230769232,0.043668122270742356,0.07117437722419928
3,en,negation1,P1|P2|NEG|N1,10,0,389,219,1.0,0.043668122270742356,0.08368200836820082
4,en,negation2,P1,219,23,370,0,0.9049586776859504,1.0,0.9501084598698482
5,en,negation2,P1|N1,134,19,374,85,0.8758169934640523,0.6118721461187214,0.7204301075268817
6,en,negation2,P1|P2|NEG,1,0,393,218,1.0,0.0045662100456621,0.00909090909090909
7,en,negation2,P1|P3|nNEG,85,4,389,134,0.9550561797752809,0.3881278538812785,0.5519480519480519
8,en,negation2,P1|P2|NEG|N1,0,0,393,219,0.0,0.0,0.0
9,en,negation2,P1|P3|nNEG|N1,1,2,391,218,0.3333333333333333,0.0045662100456621,0.009009009009009009
10,en,numerals1,P1|NEG,40,2,570,0,0.9523809523809523,1.0,0.975609756097561
11,en,numerals1,P1|NEG|N1,40,0,572,0,1.0,1.0,1.0
12,en,numerals1,P1|NEG|N2,40,0,572,0,1.0,1.0,1.0
13,en,numerals1,P1|NEG|N1|N2,40,0,572,0,1.0,1.0,1.0
14,en,numerals1,P1|P2|NEG,0,0,572,40,0.0,0.0,0.0
15,en,numerals1,P1|P2|NEG|N1,0,0,572,40,0.0,0.0,0.0
16,en,numerals1,P1|P2|NEG|N2,0,0,572,40,0.0,0.0,0.0
17,en,numerals1,P1|P2|NEG|N1|N2,0,0,572,40,0.0,0.0,0.0
18,en,numerals1,P1|P2|P3|NEG,0,0,572,40,0.0,0.0,0.0
19,en,numerals1,P1|P2|P3|NEG|N1,0,0,572,40,0.0,0.0,0.0
20,en,numerals1,P1|P2|P3|NEG|N2,0,0,572,40,0.0,0.0,0.0
21,en,numerals1,P1|P2|P3|NEG|N1|N2,0,0,572,40,0.0,0.0,0.0
22,en,numerals2,P1|NEG,89,0,523,0,1.0,1.0,1.0
23,en,numerals2,P1|NEG|N1,89,0,523,0,1.0,1.0,1.0
24,en,numerals2,P1|NEG|N2,85,0,523,4,1.0,0.9550561797752809,0.9770114942528736
25,en,numerals2,P1|NEG|N1|N2,85,0,523,4,1.0,0.9550561797752809,0.9770114942528736
26,en,numerals2,P1|P2|NEG,4,0,523,85,1.0,0.0449438202247191,0.08602150537634408
27,en,numerals2,P1|P2|NEG|N1,4,0,523,85,1.0,0.0449438202247191,0.08602150537634408
28,en,numerals2,P1|P2|NEG|N2,0,0,523,89,0.0,0.0,0.0
29,en,numerals2,P1|P2|NEG|N1|N2,0,0,523,89,0.0,0.0,0.0
